,Hop,Origin,Description,Alpha Acid_lpct,Alpha Acid_upct,Beta Acid_lpct,Beta Acid_upct,Myrcene_lpct,Myrcene_upct,Farnesene_lpct,Farnesene_upct,Geraniol_lpct,Geraniol_upct,Caryophyllene_lpct,Caryophyllene_upct,Humulene_lpct,Humulene_upct,Co-humulone_lpct,Co-humulone_upct,Linalool_lpct,Linalool_upct,B-Pinene_lpct,B-Pinene_upct,total_lpct,total_upct
16,Challenger,United Kingdom,"Bred at Wye College and introduced in 1972, Challenger is a granddaughter of Northern Brewer and niece of Northdown. It is a versatile variety with wide application in both early and late kettle additions.",6.5,8.5,4.0,4.5,30.0,42.0,0.0,1.0,0.0,0.0,9.5,9.5,25.0,25.0,20.0,25.0,0.43564645716917877,0.6991032445506855,0.3644642834502187,0.6171683907873717,1.0,1.7
17,Chelan,United States,"Similar to Galena but with higher alpha acids, Chelan was developed by the John I Haas, Inc. breeding company and released in 1994.",12.0,14.5,8.5,9.8,45.0,55.0,0.0,1.0,0.0,0.0,9.0,12.0,12.0,15.0,33.0,35.0,0.43278727708340503,0.6701929423651338,0.5314660106538078,0.9229112175644769,1.5,1.9
18,Chinook,United States,"Developed by the USDA breeding program in Washington State and released in 1985 as a high alpha bittering variety, Chinook is a cross between Petham Golding and a USDA male. In recent years, it has found favor as a dual purpose hop in the craft brewing community as a result of its spice and pine aroma characteristics.",11.5,15.0,3.0,4.0,20.0,30.0,0.0,1.0,0.7,1.0,9.0,11.0,18.0,24.0,27.0,31.0,0.3,0.5,0.3,0.5,1.0,2.5
19,Citra®,United States,"Developed by Hop Breeding Company and released in 2007. Citra® Brand HBC 394 features fairly high alpha acids and total oil contents with a low percentage of co-humulone. It is tolerant to downy mildew and powdery mildew with good pickability of dense, medium sized cones. Comprised of Hallertau Mittelfrüh, US Tettnang, Brewer's Gold and East Kent Golding.",11.0,15.0,3.0,4.5,60.0,70.0,0.0,1.0,0.3,0.5,5.0,8.0,7.0,12.0,20.0,24.0,0.6,0.9,0.7,1.0,1.5,3.0
20,Cluster,United States,"Cluster is one of the oldest hop varieties grown in the United States and until the late 1970s, accounted for the majority of the country’s hop acreage. Its pedigree is unknown, however hybridization of imported varieties and indigenous male hops has been suggested. Cluster is an excellent dual purpose hop and is often used in the reproduction of historical beer styles.",6.0,9.0,4.0,6.0,38.0,46.0,0.0,1.0,0.6,0.9,8.0,10.0,15.0,20.0,36.0,41.0,0.4,0.8,0.5,0.7,0.5,1.0
21,Columbus,United States,"Originally selected by Charles Zimmerman for Hopunion, Inc., Columbus is a descendant of Nugget. It is a high alpha variety and is primarily used for bittering purposes. Columbus is often referred to as CTZ, a trio of similar hops including Tomahawk® and Zeus.",14.5,17.5,4.5,6.0,45.0,55.0,0.0,1.0,0.2,0.5,6.0,10.0,9.0,14.0,28.0,30.0,0.4,0.6,0.6,1.0,2.5,4.5
22,Comet,United States,"Selected in 1961 and released in 1974 by the USDA, Comet was originally utilized for its high alpha acid content and adapability to growing conditions in the Yakima Valley. Commercial production ceased in the early 1980s in favor of newer super-alpha hops, however, Comet has made a recent comeback, finding favor with some brewers in dual purpose applications for its subtle and unique, ""wild American"" aroma.",8.0,10.5,4.0,5.0,40.0,55.0,0.0,1.0,0.2,0.9,10.0,15.0,1.0,2.0,34.0,37.0,0.5,0.8,0.8,1.1,1.2,2.0
23,Crystal,United States,"Bred in 1983 by the USDA, Crystal is a triploid aroma-type cultivar from Hallertau Mittelfrüh, Cascade, Brewer's Gold and Early Green. It is primarily grown in Oregon and has become increasingly popular among craft brewers due to its versatility in a variety of beer styles.",3.0,6.0,6.0,8.5,30.0,55.0,0.0,1.0,0.4,0.7,5.0,12.0,20.0,30.0,23.0,26.0,0.6,1.0,0.4,1.0,0.8,2.3
24,Dr. Rudi,New Zealand,"Developed at the New Zealand Horticultural Research Centre (now New Zealand Institute for Plant and Food Research) and released in 1976 as ""Super Alpha"", Dr. Rudi is a triploid variety bred from New Zealand Smoothcone. Its name was changed to Dr. Rudi in 2012. Dr. Rudi works well in single-hopped beers or in conjunction with multiple aroma varieties.",10.0,12.0,7.0,8.5,29.0,30.0,0.0,1.0,0.0,0.0,10.1,10.1,33.2,33.2,33.0,36.0,0.35301978901753944,0.49636742199380296,0.31526867664005753,0.4918327535916302,1.3,1.3
25,East Kent Golding,United Kingdom,"Developed from wild Canterbury Whitebine in the late 1700s, East Kent Godling is the quintessential English variety. It has been used in kettle and dry hopping and is known for is subtle citrus, floral and herbal characteristics.",4.5,6.5,1.9,2.8,29.0,31.0,0.0,1.0,0.0,0.0,12.0,16.0,38.0,44.0,28.0,32.0,0.4479940585577453,0.6989977776881885,0.30662372272161054,0.5033092564581498,0.4,0.8
26,Ekuanot™,United States,"Developed by Hop Breeding Company and released in 2014, Ekuanot™ Brand HBC 366 features pronounced aroma characteristics and extremely high oil content. This variety bursts out of the spring soil in vibrant yellow and gradually matures to a deep green color by fall harvest.",13.0,15.5,4.0,5.0,30.0,45.0,0.0,1.0,0.2,0.2,8.0,12.0,12.0,20.0,31.0,36.0,0.2,0.5,0.4,0.8,2.5,4.0
27,Ella,Australia,"Reminiscent of, yet distinctly different from, noble European varieties - one of the most versatile hops available.",13.3,16.3,4.8,7.8,40.0,50.0,0.0,1.0,0.0,0.0,12.0,18.0,16.0,22.0,34.0,38.0,0.3802699210418527,0.6544958914159847,0.46124388814536776,0.9399882799343692,2.4,3.4
28,Falconer's Flight 7C's®,United States,"Developed by Hopunion LLC in 2011, Falconer's Flight hop pellets are an exclusive proprietary hop blend created to honor and support the legacy of Northwest brewing legend, Glen Hay Falconer. Proceeds from each Falconer's Flight purchase is contributed to the Glen Hay Falconer Foundation. These hop pellets are an excellent complement to many IPA and Pale Ale-oriented hop varieties.",9.0,10.5,4.7,5.1,0.0,70.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,55.0,0.0,48.0,0.0,2.0,0.0,2.0,1.7,1.7
29,Falconer's Flight®,United States,"Developed by Hopunion LLC in 2010, Falconer's Flight hop pellets are an exclusive proprietary hop blend created to honor and support the legacy of Northwest brewing legend, Glen Hay Falconer. Proceeds from each Falconer's Flight purchase is contributed to the Glen Hay Falconer Foundation. These hop pellets are an excellent complement to many IPA and Pale Ale-oriented hop varieties.",9.5,12.0,4.0,5.0,20.901191462499916,28.034262879589228,0.9364479987828966,2.0775947073673704,0.0,0.0,5.528552137295621,7.663243975962436,11.14795978964054,14.774641273073492,20.0,25.0,0.19401732047956352,0.3761607807996083,0.2460910987999424,0.5206051081387895,1.6,4.6
30,First Gold,United Kingdom,"Bred at Wye College in 1995, First Gold is a cross between WGV (Whitbread Golding Variety) and a dwarf male. It features many of the flavor characteristics of WGV and has found favor in both general kettle and late or dry hopping applications.",5.6,9.3,2.3,4.1,24.0,27.0,2.0,4.0,0.0,0.0,6.0,7.0,20.0,24.0,32.0,34.0,0.27733132474506467,0.44039408075251085,0.275514860866519,0.4588748817280421,0.7,1.5
31,Fuggle,United Kingdom,"The most revered and famous English hop, known for its full bodied flavor in traditional ales.",3.0,5.6,2.0,3.0,24.0,28.0,5.0,7.0,0.0,0.0,9.0,13.0,33.0,38.0,25.0,30.0,0.43975757083444555,0.6990641062523665,0.25016508710225904,0.4526261873614209,0.7,1.4
32,Galaxy,Australia,Typically used as a late addition - the aroma and flavor characteristics become more pronounced the later the addition.,11.6,16.0,5.0,6.9,33.0,69.0,2.0,4.0,0.0,0.0,7.0,9.0,1.0,2.0,32.0,42.0,0.3542678122667773,0.815742978311739,0.4888027424724288,1.1978486431660231,3.0,5.0
33,Galena,United States,"Developed by the USDA breeding program in Idaho in 1968 and released in 1978, Galena is a high alpha variety with increasingly popular aroma characteristics. It has moderate tolerance to downy mildew and is susceptible to powdery mildew, but has good pickability of medium size, compact cones.",13.0,15.0,7.5,8.5,40.0,50.0,0.0,1.0,0.5,0.8,5.0,9.0,11.0,17.0,34.0,39.0,0.1,0.3,0.4,0.7,1.3,2.1
34,Glacier,United States,"Released in 2000 by Washington State University, Glacier is an offspring of French Elsasser, Brewer's Gold and Northern Brewer. It was selected for its good yield potential and low co-humulone, providing smoothness and balanced bitterness in beer.",4.0,7.5,7.0,10.0,35.0,45.0,0.0,1.0,0.2,0.3,8.0,13.0,25.0,35.0,13.0,16.0,0.8,1.1,0.2,0.6,0.8,1.0
35,Gold,Slovenia,"Daughter of Styrian Savinsjki Golding and released in 2009, Gold was bred to improve the agronomic values of the traditional Golding. Known for its distinct aroma, it is cultivated only in Slovenia. ",3.5,6.5,3.5,5.9,38.0,47.0,1.5044112408505323,2.699354938697365,0.0,0.0,4.789650202904074,7.377765991838884,10.151176827526017,14.99630456247368,18.922079472727848,22.090373762497393,1.3,2.0,0.4507736859088682,0.6910942316263377,1.3,2.3
36,Golding,United States,"Golding hops consist of a group of traditional English aroma varieties which have been cultivated since 1790. The cultivar originated in England and the hops were named after villages in East Kent (Petham, Rothersham, Canterbury, Eastwell). US Golding is the Canterbury strain. It is susceptible to downy mildew, but has good pickability of small size, moderately compact cones.",3.0,6.5,2.0,3.5,25.0,35.0,0.0,1.0,0.1,0.1,10.0,15.0,35.0,45.0,25.0,28.0,0.6,0.9,0.3,0.5,0.4,1.0
37,Golding,United Kingdom,"A classic British hop, Goldings have a background as East Kent Golding but are grown in Hereford and Worcester. They are complementary to Fuggles, providing floral and citrus overtones; an excellent selection for bitter, pale ale, ESB, blond, tripel, saison and kölsch-style beers.",4.0,6.0,2.0,3.0,25.0,35.0,0.0,1.0,0.0,0.0,13.0,16.0,35.0,45.0,23.0,28.0,0.4428569968036204,0.7904094089801686,0.282796474811489,0.5816721310322974,0.7,1.0
38,Green Bullet,New Zealand,"Green Bullet is a triploid alpha variety bred by open cross pollination of the New Zealand ""Smoothcone"" variety. Used extensively as a utility brew house workhorse and found in breweries across the world. This “go to” hop is a traditional bittering type that now finds applications throughout the brewery from late additions through the hop back/ whirlpool and dry hopping.",11.0,14.0,6.5,7.0,37.0,39.0,0.0,1.0,0.0,0.0,9.1,9.3,28.1,28.3,38.0,39.0,0.39348704772619164,0.5403543239197185,0.4221365024455742,0.6086814509454463,1.0,1.2
39,Hallertau,United States,"US Hallertau originates from the classic Hallertau variety of Germany. It is a noble aroma variety. Despite low yield and low resistance to disease, Hallertau remains a historic hop and is often celebrated in the production of purist recipes and traditional beer styles.",3.5,6.5,2.5,6.5,18.0,25.0,0.0,1.0,0.1,0.6,10.0,15.0,35.0,45.0,23.0,26.0,0.6,1.0,0.2,0.6,0.5,1.0
40,Hallertau Mittlefruh,Germany,"This classic German aroma hop is often associated with Bavarian-style lager beers and distinguished by an intense, pleasantly-harmonic bitterness. At one time, this was the major Hallertau landrace variety with a highly acclaimed aroma profile.",3.0,5.5,3.0,5.0,14.0,16.0,0.0,1.0,0.0,0.0,14.5,14.7,55.0,55.2,18.0,28.0,0.41285000340675276,0.654733059628869,0.11778881804010433,0.24248623365467856,0.7,1.3
41,HBC 431 ,United States,"Bred by Hop Breeding Company but with little known family history, HBC 431 is a dual-purpose variety still in experimental phase. It features a complex assortment of aroma characteristics including fruit, earthy and herbal aromas. Its fruit character has been described as peach, berry and tropical fruit. HBC 431 is well suited for a variety of beer styles that aim to deliver fine fruit aromas. Bitterness potential is good.",14.0,16.0,4.0,5.0,33.0,37.0,-0.13663478441215532,0.08854877187494245,0.6,0.6,13.0,14.0,22.0,26.0,18.0,18.0,0.5,0.5,0.36312642107891335,0.6069170971177407,1.5,1.5
42,HBC 438,United States,"Developed by Hop Breeding Company, HBC 438 is an experimental variety originating from the open pollination of YCR 123, a cultivar derived from the subspecies neomexicanus. It is the sister to the well-known experimental HBC 472 and exhibits many of the same characteristics. Specific aroma descriptors include mango, coconut, grapefruit, lemon grass and wood. ",12.4,14.9,5.1,6.0,61.0,66.0,0.0,1.0,0.8,1.0,9.7,10.5,8.5,8.7,23.0,25.0,0.4,0.5,0.8,1.0,3.0,3.4
43,HBC 472,United States,"Bred by Hop Breeding Company through open pollination of a wild American hop, subspecies neomexicanus, HBC 472 is a dual purpose variety still in experimental phase. The hop displays a unique aroma profile consisting of floral, wood, earth and coconut characteristics. When hopped aggressively in IPA style beers, citrus and grapefruit aromas emerge, along with a distinct whiskey.bourbon and coconut character in the background. These characteristics are especially evident in darker, malt-forward beers. HBC 472 lends itself well to full flavor beer styles such as pale ales, IPAs, porters, stouts and barrel-aged beers.",9.0,11.0,7.0,9.0,34.05938558192352,46.2262802307393,1.5518659246402686,2.634227694348692,0.0,0.2,20.0,20.0,1.0,2.0,42.0,46.0,0.0,0.1,0.0,2.0,0.0,5.0
44,HBC 682,United States,"A descendant of HBC 463 and a UK male, HBC 682 is a super alpha hop cultivar still in the experimental phase. It has a mild and pleasant aroma with herbal, floral and spicy characteristics. When used as a bittering variety, HBC 682 provides a very neutral flavor and pleasant bitterness. In single hop applications, it has been described as having a strong earthy aroma. HBC 682 is currently available in limited quantities, and as a variety specific CO2 hop extract product.
",18.0,21.0,4.5,5.5,48.0,52.0,1.0332489542203427,1.587388215527458,2.0,2.0,4.5,5.5,13.0,15.0,30.0,32.0,0.5,0.8,0.5674127755524746,0.7507796009986244,1.0,2.0
45,Helga,Australia,"Bred in 1986 and formerly known as Southern Hallertau, Helga™ is a descendant of Hallertau Mittelfrüh. Its brewing characteristics resemble that of its parent, however it demonstrates a forgiving and refined character in a variety of beer styles and hop applications.",5.4,7.3,5.0,7.0,1.0,13.0,0.0,1.0,0.0,0.0,10.0,15.0,35.0,55.0,20.0,23.0,0.1,0.6,0.007940417966704336,0.34933781039360856,0.6,1.0
46,Herkules,Germany,"Bred at the Hop Research Center in Hüll, Germany, Herkules imparts robust, hoppy flavors.",12.0,17.0,4.0,5.5,30.0,50.0,0.0,1.0,0.0,0.0,7.0,12.0,30.0,45.0,32.0,38.0,0.3942594972038672,0.8590066197254366,0.3948513473900491,0.8021295281805675,1.6,2.4
47,Hersbrucker,Germany,"A landrace variety originating from the Hersbruck region of Southern Germany, Hersbrucker has expanded and is now widely grown throughout the Hallertau and Spalt regions. It displays a delicate aroma profile that is often compared to other noble varieties.",1.5,4.0,2.5,6.0,15.0,30.0,0.0,1.0,0.0,0.0,8.0,13.0,20.0,30.0,17.0,25.0,0.5,1.0,0.1867674516231218,0.5775349361368993,0.5,1.0
48,Horizon,United States,"Bred in Oregon in 1970 and released in 1997, Horizon is a descendant of Brewer's Gold and half-sister to Nugget. Its low co-humulone is similar to noble varieties and provides smoothness to beer, however alpha acid levels can reach as high as 12%. Horizon can be utilized in every stage of the brewing process.",8.8,12.0,5.5,7.5,45.0,55.0,3.0,5.0,0.1,0.5,8.0,14.0,10.0,20.0,16.0,19.0,0.9,1.5,0.6,0.8,0.5,1.5
49,Huell Melon,Germany,"Bred at the Hop Research Institute in Hüll, this hop variety has bold flavors and is not necessarily associated with typical hop variety aromas.",6.9,7.5,7.3,7.9,35.0,37.0,0.0,1.0,0.0,0.0,5.0,10.0,10.0,20.0,25.0,30.0,0.3228745961444534,0.5516143154319675,0.38396268768300185,0.6621352160052685,0.7,0.9
50,Kohatu,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2011, Kohatu is a descendant of Hallertau Mittelfrüh. It works well in single hop applications and is described as having intense fruit characteristics.",6.0,7.0,4.0,5.0,35.0,36.0,0.0,1.0,0.0,0.0,11.5,11.5,36.0,37.0,20.0,22.0,0.5266583024244794,0.7208677290457219,0.3770357389970618,0.4707676348937191,1.0,1.0
51,Liberty,United States,"Bred in 1983, Liberty is an extension of the Hallertau hop family. It is a half-sister to Ultra, Mt. Hood and Crystal. Liberty demonstrates some tolerance to downy mildew, is susceptible to powdery mildew and has small size cones that can be difficult to harvest.",4.0,5.5,3.0,4.0,15.0,25.0,0.0,1.0,0.1,0.3,10.0,15.0,35.0,45.0,22.0,24.0,0.6,1.0,0.1,0.3,1.0,1.8
52,Loral®,United States,"Developed by Hop Breeding Company and released in 2016, Loral® Brand HBC 291 has a noble heritage that straddles the fence between old and new world hop aromatics. It has the ability to complement all beer styles, making it a very versatile hop in the brewery. Loral® has been described as pleasant with floral, citrus, peppery and some dark fruit characteristics.",11.3,12.2,4.9,5.3,52.0,58.0,0.0,1.0,0.2,0.3,5.0,5.7,17.8,17.9,21.0,24.0,1.0,1.1,0.6,0.7,1.8,2.9
53,Magnum,United States,"Bred at the Hop Research Center in Hüll in 1980 and released in 1993, Magnum is a German variety (also grown in the US) and daughter of Galena. It is a high alpha cultivar and is often used as the base bittering variety. Magnum does not display any distinct aroma characteristics, however, subtle spice and fruit characteristics have been noted by some brewers.",12.0,15.5,5.5,8.0,30.0,40.0,0.0,1.0,0.3,0.6,7.0,12.0,25.0,30.0,23.0,28.0,0.4,0.7,0.4,0.8,2.0,3.0
54,Magnum,Germany,"Bred at the Hop Research Center in Hüll in 1980 and released in 1993, Magnum is a daughter of Galena. It is a high alpha variety with some spice and fruit characteristics.",11.0,16.0,5.0,7.0,30.0,45.0,0.0,1.0,0.0,0.0,8.0,12.0,30.0,45.0,21.0,29.0,0.2,0.3,0.36369500971032714,0.712301374687509,1.6,2.6
55,Mandarina Bavaria,Germany,"Bred at the Hop Research Institute in Hüll, Mandarina Bavaria displays pleasant fruitiness in finished beers.",7.0,10.0,5.0,6.5,70.0,72.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,15.0,31.0,35.0,0.657834428380944,0.9641842589931536,0.8129284072727827,0.9854371549436782,2.1,2.3
56,Merkur,Germany,"Bred at the Hop Research Institute in Hüll and registered in 2001, Merkur was the first mildew-resistant hop variety from the research center. It is a cross between Magnum and German experimental variety 81/8/13. It is a high alpha variety with low co-humulone oil percentages. In some dual purpose applications, Merkur displays subtle earth and citrus notes.",12.0,14.0,4.5,5.5,45.0,50.0,0.0,1.0,0.0,0.0,8.0,10.0,28.0,32.0,18.0,20.0,0.6,1.1,0.51404827960013,0.6501534116140641,2.0,3.0
57,Millennium,United States,"Bred by the John I. Haas breeding program and released in 2000, Millennium is a super-alpha variety with mild, herbal aromas. It is tolerant to downy mildew and powdery mildew, and has good pickability of medium size cones.",15.5,18.5,5.0,6.5,35.0,55.0,0.0,1.0,0.1,0.1,8.0,10.0,15.0,25.0,29.0,35.0,0.3,0.6,0.4,0.8,1.5,3.0
58,Mosaic®,United States,"Developed by Hop Breeding Company and released in 2012, Mosaic® Brand HBC 369 contains high alpha content and features a unique and complex aroma profile that translates favorably into a variety of beer styles. It is a daughter of Simcoe® Brand YCR 14 and a Nugget derived male. Mosaic®  is named in honor of the artistic assortment of aromas and flavors it is capable of presenting.",10.5,14.0,3.0,4.5,48.0,55.0,0.0,1.0,0.5,0.9,3.0,8.0,10.0,15.0,21.0,25.0,0.4,0.8,0.6,1.0,0.8,3.0
59,Motueka,New Zealand,"Bred as part of the Hops with a Difference programme, Motueka is an excellent hop in many applications from first kettle additions through late gifting. This hop offers a unique aroma and flavour profile suitable for producing bigger styles. Excellent when employed in multiple additions from a single hop bill and sits well on the palate to balance specialty malt sweetness. It is an excellent variety for a wide range of styles from Saison through to Pilsners. It is extremely versatile in the brewery.",6.5,7.5,5.0,5.5,47.0,49.0,12.1,12.3,0.0,0.0,1.0,3.0,3.5,3.7,28.0,30.0,0.5425393830802608,0.7107645647080604,0.5297851665355268,0.6887137277259997,0.7,0.9
60,Mt. Hood,United States,"Bred in 1983 and released from the USDA breeding program in Oregon in 1989, Mt. Hood is a triploid aroma type cultivar with similarities to German Hallertau and German Hersbrucker. It is tolerant to downy mildew with good pickability of medium size, compact cones. Mt. Hood is named after the famous Oregon volcano.",4.0,6.5,4.4,7.2,25.0,35.0,0.0,1.0,0.1,0.5,10.0,16.0,30.0,40.0,21.0,25.0,0.5,0.9,0.4,0.8,0.8,2.0
61,Mt. Rainier,United States,"Bred by Oregon State University, Mt. Rainier is a dual purpose variety with noble aroma characteristics. It is similar to the classic German variety, Hallertau Mittelfrüh, but features more bittering strength.",5.0,7.0,8.0,10.0,50.0,60.0,0.0,1.0,0.2,0.4,6.0,10.0,15.0,20.0,21.0,23.0,0.6,0.9,0.6,0.8,1.5,2.5
62,Nelson Sauvin,New Zealand,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2000, Nelson Sauvin is a triploid variety bred from the New Zealand Smoothcone and a selected New Zealand male. It is known for being one of the most unique hop varieties, displaying strong fruit and white wine aroma characteristics.",12.0,13.0,6.0,8.0,22.0,23.0,0.0,1.0,0.0,0.0,10.7,10.7,36.4,36.4,23.0,25.0,0.3189654106105526,0.44894844059543887,0.22835850351782813,0.3605031146360798,1.1,1.1
63,Newport,United States,"Bred in 1992 by Oregon State University and released in 1992 through the USDA, Newport is a descendant of the classic bittering variety, Magnum. It offers high alpha acid, co-humulone and myrcene content, offering more distinct aroma characteristics than its parent. Newport is resistant to downy mildew and powdery mildew and has good pickability of medium to large size, loose cones.",10.0,12.5,5.5,6.5,45.0,55.0,0.0,1.0,0.2,0.2,7.0,11.0,15.0,20.0,36.0,38.0,0.3,0.7,0.6,0.9,1.6,2.5
